created_at,updated_at,name,id,municipality_id
2023-06-12 05:11:59.665329 +00:00,2023-06-12 05:11:59.665373 +00:00,N,32738,1032
2023-06-12 05:11:59.692623 +00:00,2023-06-12 05:11:59.692666 +00:00,Neptuno,221980,1032
2023-06-12 05:11:59.773328 +00:00,2023-06-12 05:11:59.773371 +00:00,O,226194,1032
2023-06-12 05:11:59.800396 +00:00,2023-06-12 05:11:59.800445 +00:00,Oeste,63488,1032
2023-06-12 05:11:59.854493 +00:00,2023-06-12 05:11:59.854536 +00:00,Panorama,96743,1032
2023-06-12 05:11:59.989610 +00:00,2023-06-12 05:11:59.989653 +00:00,Pasaje Kholy,380944,1032
2023-06-12 05:12:00.016605 +00:00,2023-06-12 05:12:00.016645 +00:00,Paseo,349138,1032
2023-06-12 05:12:00.098009 +00:00,2023-06-12 05:12:00.098051 +00:00,Protestantes,320257,1032
2023-06-12 05:12:00.124887 +00:00,2023-06-12 05:12:00.124930 +00:00,Recurso,476848,1032
2023-06-12 05:12:00.151963 +00:00,2023-06-12 05:12:00.152007 +00:00,Reforma,317587,1032
2023-06-12 05:12:00.189275 +00:00,2023-06-12 05:12:00.189322 +00:00,Reparto,351997,1032
2023-06-12 05:12:00.214082 +00:00,2023-06-12 05:12:00.214105 +00:00,Requena,253900,1032
2023-06-12 05:12:00.240298 +00:00,2023-06-12 05:12:00.240309 +00:00,Rizo,253819,1032
2023-06-12 05:12:00.259200 +00:00,2023-06-12 05:12:00.259213 +00:00,Ronda,444170,1032
2023-06-12 05:12:00.334791 +00:00,2023-06-12 05:12:00.334835 +00:00,San Juan Bautista,158900,1032
2023-06-12 05:12:00.361741 +00:00,2023-06-12 05:12:00.361785 +00:00,San Lázaro,349328,1032
2023-06-12 05:23:33.074004 +00:00,2023-06-12 05:23:33.074034 +00:00,Avenida Viñales,9672,1189
2023-06-12 05:12:00.415527 +00:00,2023-06-12 05:12:00.415568 +00:00,San Miguel,475487,1032
2023-06-12 05:12:00.442385 +00:00,2023-06-12 05:12:00.442427 +00:00,San Pedro,192684,1032
2023-06-12 05:12:00.485355 +00:00,2023-06-12 05:12:00.485366 +00:00,Santa Ana,445526,1032
2023-06-12 05:12:00.522635 +00:00,2023-06-12 05:12:00.522644 +00:00,Santa María,128403,1032
2023-06-12 05:12:00.541443 +00:00,2023-06-12 05:12:00.541452 +00:00,Santa Rosa,285772,1032
2023-06-12 05:12:00.560117 +00:00,2023-06-12 05:12:00.560127 +00:00,Santa Rosita,191586,1032
2023-06-12 05:12:00.616039 +00:00,2023-06-12 05:12:00.616047 +00:00,Tulipán,129193,1032
2023-06-12 05:12:00.653673 +00:00,2023-06-12 05:12:00.653682 +00:00,Ulloa,31981,1032
2023-06-12 05:12:00.691192 +00:00,2023-06-12 05:12:00.691202 +00:00,Universidad-Ronda,126980,1032
2023-06-12 05:12:00.709836 +00:00,2023-06-12 05:12:00.709845 +00:00,Valle,287090,1032
2023-06-12 05:12:00.728209 +00:00,2023-06-12 05:12:00.728218 +00:00,Vías de servicios,412505,1032
2023-06-12 05:12:00.746988 +00:00,2023-06-12 05:12:00.746997 +00:00,Zanja,126935,1032
2023-06-12 05:12:00.765993 +00:00,2023-06-12 05:12:00.766003 +00:00,Zapata,222023,1032
2023-06-12 05:12:01.180050 +00:00,2023-06-12 05:12:01.180063 +00:00,11 A,326338,1132
2023-06-12 05:12:01.198834 +00:00,2023-06-12 05:12:01.198853 +00:00,13,484123,1132
2023-06-12 05:12:01.217335 +00:00,2023-06-12 05:12:01.217347 +00:00,1ra,484494,1132
2023-06-12 05:12:01.322402 +00:00,2023-06-12 05:12:01.322411 +00:00,1ra (Chatarra),262666,1132
2023-06-12 05:12:01.341095 +00:00,2023-06-12 05:12:01.341105 +00:00,2da,263012,1132
2023-06-12 05:12:01.359702 +00:00,2023-06-12 05:12:01.359711 +00:00,3ra,72302,1132
2023-06-12 05:12:01.434613 +00:00,2023-06-12 05:12:01.434622 +00:00,4ta C,326579,1132
2023-06-12 05:12:01.453300 +00:00,2023-06-12 05:12:01.453309 +00:00,5ta,421287,1132
2023-06-12 05:12:01.490667 +00:00,2023-06-12 05:12:01.490676 +00:00,7ma,421319,1132
2023-06-12 05:12:01.509506 +00:00,2023-06-12 05:12:01.509515 +00:00,9na,199368,1132
2023-06-12 05:12:01.528239 +00:00,2023-06-12 05:12:01.528252 +00:00,A,199596,1132
2023-06-12 05:12:01.546644 +00:00,2023-06-12 05:12:01.546652 +00:00,A 1,484283,1132
2023-06-12 05:12:01.565729 +00:00,2023-06-12 05:12:01.565743 +00:00,Acceso 40,41047,1132
2023-06-12 05:23:33.102406 +00:00,2023-06-12 05:23:33.102458 +00:00,B,390587,1189
2023-06-12 05:12:01.621581 +00:00,2023-06-12 05:12:01.621590 +00:00,Acceso a Playa Bailen,357971,1132
2023-06-12 05:12:01.640434 +00:00,2023-06-12 05:12:01.640444 +00:00,Acera 1,390192,1132
2023-06-12 05:12:01.659145 +00:00,2023-06-12 05:12:01.659153 +00:00,Acera 158,262909,1132
2023-06-12 05:12:01.696715 +00:00,2023-06-12 05:12:01.696728 +00:00,Acera 3,199585,1132
2023-06-12 05:12:01.733927 +00:00,2023-06-12 05:12:01.733938 +00:00,Acera 9,263132,1132
2023-06-12 05:12:01.753340 +00:00,2023-06-12 05:12:01.753356 +00:00,Acera Antonio M Rubio A,104187,1132
2023-06-12 05:12:01.809834 +00:00,2023-06-12 05:12:01.809878 +00:00,Acera Peatonal 34,136169,1132
2023-06-12 05:12:01.863836 +00:00,2023-06-12 05:12:01.863879 +00:00,Antonio M Rubio A,421471,1132
2023-06-12 05:12:01.891513 +00:00,2023-06-12 05:12:01.891571 +00:00,Antonio M Rubio Interior,453023,1132
2023-06-12 05:12:01.972087 +00:00,2023-06-12 05:12:01.972129 +00:00,B 2,357968,1132
2023-06-12 05:12:01.998932 +00:00,2023-06-12 05:12:01.998976 +00:00,C,294441,1132
2023-06-12 05:12:02.026051 +00:00,2023-06-12 05:12:02.026094 +00:00,C 1,72304,1132
2023-06-12 05:12:02.052852 +00:00,2023-06-12 05:12:02.052896 +00:00,C1 A,40988,1132
2023-06-12 05:12:02.079962 +00:00,2023-06-12 05:12:02.080005 +00:00,C1 B,294499,1132
2023-06-12 05:12:02.133926 +00:00,2023-06-12 05:12:02.133969 +00:00,Callejónal Zarzal,72296,1132
2023-06-12 05:12:02.160986 +00:00,2023-06-12 05:12:02.161030 +00:00,Capitán Murrieta,484135,1132
2023-06-12 05:22:35.056632 +00:00,2023-06-12 05:22:35.058236 +00:00,La Torre A,222605,1032
2023-06-12 05:21:28.897614 +00:00,2023-06-12 05:21:28.899225 +00:00,Lindero,225170,1032
2023-06-12 05:21:29.005441 +00:00,2023-06-12 05:21:29.005839 +00:00,Luaces,99137,1032
2023-06-12 05:22:35.519970 +00:00,2023-06-12 05:22:35.521611 +00:00,Norte,222063,1032
2023-06-12 05:21:29.242452 +00:00,2023-06-12 05:21:29.244019 +00:00,Montoro,130793,1032
2023-06-12 05:21:29.350610 +00:00,2023-06-12 05:21:29.352224 +00:00,Nueva,1547,1032
2023-06-12 05:22:35.682161 +00:00,2023-06-12 05:22:35.683765 +00:00,Pasaje A,95542,1032
2023-06-12 05:22:35.844309 +00:00,2023-06-12 05:22:35.845983 +00:00,Pedro Pérez,448622,1032
2023-06-12 05:21:29.512785 +00:00,2023-06-12 05:21:29.514423 +00:00,Pasaje B,96640,1032
2023-06-12 05:21:29.539830 +00:00,2023-06-12 05:21:29.541454 +00:00,Pasaje H Upmann,353435,1032
2023-06-12 05:21:29.566780 +00:00,2023-06-12 05:21:29.568400 +00:00,Pasaje Junco,443958,1032
2023-06-12 05:21:29.849304 +00:00,2023-06-12 05:21:29.850889 +00:00,San Antonio,2884,1032
2023-06-12 05:21:29.876382 +00:00,2023-06-12 05:21:29.877976 +00:00,San Antonio A,286275,1032
2023-06-12 05:21:30.038422 +00:00,2023-06-12 05:21:30.039993 +00:00,San Rafael,255114,1032
2023-06-12 05:22:36.458494 +00:00,2023-06-12 05:22:36.459149 +00:00,Talleres,257604,1032
2023-06-12 05:21:30.200799 +00:00,2023-06-12 05:21:30.202418 +00:00,Santa Teresa,257654,1032
2023-06-12 05:22:36.542517 +00:00,2023-06-12 05:22:36.544086 +00:00,Unión,158901,1032
2023-06-12 05:22:34.842469 +00:00,2023-06-12 05:22:34.844153 +00:00,I,99878,1032
2023-06-12 05:22:34.896563 +00:00,2023-06-12 05:22:34.898197 +00:00,Julio Borgues,256890,1032
2023-06-12 05:22:34.977585 +00:00,2023-06-12 05:22:34.979187 +00:00,La Rosa,478819,1032
2023-06-12 05:22:35.328947 +00:00,2023-06-12 05:22:35.330609 +00:00,Maloja,32104,1032
2023-06-12 05:22:35.627999 +00:00,2023-06-12 05:22:35.629694 +00:00,P,191829,1032
2023-06-12 05:22:35.871305 +00:00,2023-06-12 05:22:35.872964 +00:00,Pozos Dulces,448563,1032
2023-06-12 05:22:36.305670 +00:00,2023-06-12 05:22:36.307286 +00:00,Santa  Ana,63598,1032
2023-06-12 05:22:36.495960 +00:00,2023-06-12 05:22:36.496639 +00:00,Túnel de La Calle Línea,95396,1032
2023-06-12 05:22:37.138779 +00:00,2023-06-12 05:22:37.140507 +00:00,11,484441,1132
2023-06-12 05:22:37.295061 +00:00,2023-06-12 05:22:37.295517 +00:00,1ra A,326556,1132
2023-06-12 05:22:37.387305 +00:00,2023-06-12 05:22:37.388860 +00:00,4ta,262898,1132
